Field Description,Model Variable NetCDF Name,UPP Internal Name,Dimensions,dyn (atm) or phy (sfc),Notes
U-component of wind,ugrd,uh,3d,dyn,
V-component of wind,vgrd,vh,3d,dyn,
Specific humidity,spfh,q,3d,dyn,
Temperature,tmp,t,3d,dyn,
Ozone mixing ratio,o3mr,o3,3d,dyn,
Geometric vertical velocity,dzdt,wh,3d,dyn,
Cloud water mixing ratio,clwmr,qqw,3d,dyn,
Layer thickness in pressure on hybrid levels,dpres,dpres,3d,dyn,
Layer thickness in height,delz,na,3d,dyn,
Ice mixing ratio,icmr,qqi,3d,dyn,
Rain mixing ratio,rwmr,qqr,3d,dyn,
Snow mixing ratio,snmr,qqs,3d,dyn,
Graupel mixing ratio,grle,qqg,3d,dyn,
Hail mixing ratio,qqh,qqh,3d,dyn,
Instantaneous 3d cloud fraction,cld_amt,cfr,3d,dyn,imp_physics = 11
Instantaneous 3d cloud fraction,cldfra,cfr,3d,phy,imp_physics ≠ 11
Instantaneous 3d cloud fraction from boundary layer scheme,cldfra_bl,cfr,3d,phy,imp_physics ≠ 11
Thompson scheme cloud ice effective radius,cieffr,effri,3d,phy
Thompson scheme cloud water effective radius,cleffr,effrl,3d,phy
Thompson scheme snow effective radius,cseffr,effrs,3d,phy
Max hourly updraft velocity,upvvelmax,w_up_max,2d,dyn,regional FV3
Max hourly downdraft velocity,dnvvelmax,w_dn_max,2d,dyn,regional FV3
Max hourly updraft helicity,uhmax25,up_heli_max,2d,dyn,regional FV3
Min hourly updraft helicity,uhmin25,up_heli_min,2d,dyn,regional FV3
Max hourly 0-3km updraft helicity,uhmax03,up_heli_max03,2d,dyn,regional FV3
Min hourly 0-3km updraft helicity,uhmin03,up_heli_min03,2d,dyn,regional FV3
Max 0-1km relative vorticity max,maxvort01,rel_vort_max01,2d,dyn,regional FV3
Max 0-2km relative vorticity max,maxvort02,rel_vort_max,2d,dyn,regional FV3
Max hybrid level 1 relative vorticity max,maxvorthy1,rel_vort_maxhy1,2d,dyn,regional FV3
HAILCAST maximum hail diameter (mm) since last output,hailcast_dhail,hail_maxhailcast,2d,dyn,regional FV3
Biomass burning emissions,ebb_smoke_hr,ebb,2d,phy,regional FV3
Hourly wildfire potential,hwp,hwp,2d,phy,regional FV3
Lightning threat index 1,ltg1_max,ltg1_max,2d,phy,regional FV3
Lightning threat index 2,ltg2_max,ltg2_max,2d,phy,regional FV3
Lightning threat index 3,ltg3_max,ltg3_max,2d,phy,regional FV3
