No.,Field Description,Level Type,Short Name,nlvl
1,Height on pressure surface,isobaric,HGT,57
2,Temperature on pressure surface,isobaric,TMP,57
3,Specific humidity on pressure surface,isobaric,SPFH,57
4,Relative humidity on pressure surface,isobaric,RH,57
5,U component of wind on pressure surface,isobaric,UGRD,57
6,V component of wind on pressure surface,isobaric,VGRD,57
7,Vertical velocity on pressure surface,isobaric,DZDT,45
8,Omega on pressure surface,isobaric,VVEL,45
9,Absolute vorticity on pressure surface,isobaric,ABSV,57
10,Ozone on pressure surface,isobaric,O3MR,32
11,Cloud water mixing ratio on pressure surface,isobaric,CLWMR,39
12,Cloud ice mixing ratio on pressure surface,isobaric,ICMR,39
13,Rain mixing ratio on pressure surface,isobaric,RWMR,39
14,Snow mixing ratio on pressure surface,isobaric,SNMR,39
15,Graupel mixing ratio on pressure surface,isobaric,GRLE,39
16,Composite radar reflectivity,entire atmosphere,REFC,1
17,Mesinger (Membrane) sea level pressure,mean sea level,MSLET,1
18,Shuell sea level pressure,mean sea level,PRES,1
19,Temperature at 2m,height agl,TMP,1
20,Specific humidity at 2m,height agl,SPFH,1
21,Dew point temperature at 2m,height agl,DPT,1
22,Relative humidity at 2m,height agl,RH,1
23,U component of wind at 10m,height agl,UGRD,1
24,V component of wind at 10m,height agl,VGRD,1
25,Surface Pressure,surface,PRES,1
26,Terrain height,surface,HGT,1
27,Skin temperature,surface,TMP,1
28,Soil temperature in between each soil layer,depth below land surface,TSOIL,4
29,Soil moisture in between each soil layer,depth below land surface,SOILW,4
30,Liquid soil moisture in between each soil layer,depth below land surface,SOILL,4
31,Plant canopy surface water,surface,CNWAT,1
32,Snow water equivalent,surface,WEASD,1
33,Potential evaporation,surface,PEVPR,1
34,Ice thickness,surface,ICETK,1
35,Snow depth,surface,SNOD,1
36,Wilting point,surface,WILT,1
37,Field Capacity,surface,FLDCP,1
38,Surface lifted index,surface,LFTX,1
39,Best lifted index (4 layer),surface,4LFTX,1
40,Parcel lifted index,pressure above ground,PLI,1
41,Convective available potential energy,surface,CAPE,1
42,Best cape,pressure above ground,CAPE,1
43,Unstable cape,pressure above ground,CAPE,1
44,Convective inhibition,surface,CIN,1
45,Best cin,pressure above ground,CIN,1
46,Unstable cin,pressure above ground,CIN,1
47,Column integrated precipitable water,entire atmosphere,PWAT,1
48,Helicity,height agl,HLCY,1
49,U component storm motion,height agl,USTM,1
50,V component storm motion,height agl,VSTM,1
51,Accumulated total precipitation,surface,APCP,1
52,Accumulated convective precipitation,surface,ACPCP,1
53,Accumulated grid-scale precipitation,surface,NCPCP,1
54,Continuous accumulated total precipitation,surface,APCP,1
55,Continuous accumulated convective precipitation,surface,ACPCP,1
56,Continuous accumulated grid-scale precipitation,surface,NCPCP,1
57,Categorical rain (instantaneous),surface,CRAIN,1
58,Categorical snow (instantaneous),surface,CSNOW,1
59,Categorical ice pellets (instantaneous),surface,CICEP,1
60,Categorical freezing rain (instantaneous),surface,CFRZR,1
61,Categorical rain (average),surface,CRAIN,1
62,Categorical snow (average),surface,CSNOW,1
63,Categorical ice pellets (average),surface,CICEP,1
64,Categorical freezing rain (average),surface,CFRZR,1
65,Average precipitation rate,surface,PRATE,1
66,Average convective precipitation rate,surface,CPRAT,1
67,Average low cloud fraction,low cloud layer,TCDC,1
68,Average mid cloud fraction,mid cloud layer,TCDC,1
69,Average high cloud fraction,high cloud layer,TCDC,1
70,Average total cloud fraction,entire atmosphere,TCDC,1
71,Visibility,surface,VIS,1
72,Average incoming surface shortwave radiation,surface,DSWRF,1
73,Average clear sky incoming UV-B shortwave,surface,CDUVB,1
74,Average incoming UV-B shortwave,surface,DUVB,1
75,Average incoming surface longwave radiation,surface,DLWRF,1
76,Average outgoing surface shortwave radiation,surface,USWRF,1
77,Average outgoing surface longwave radiation,surface,ULWRF,1
78,Average outgoing model top shortwave radiation,top of atmosphere,USWRF,1
79,Average outgoing model top longwave radiation,top of atmosphere,ULWRF,1
80,Total spectrum brightness temperature,top of atmosphere,BRTMP,1
81,Roughness length,surface,SFCR,1
82,Friction velocity,surface,FRICV,1
83,Average surface sensible heat flux,surface,SHTFL,1
84,Average ground heat flux,surface,GFLUX,1
85,Average surface latent heat flux,surface,LHTFL,1
86,Average surface zonal momentum flux,surface,UFLX,1
87,Average surface meridional momentum flux,surface,VFLX,1
88,Land sea mask (land=1 sea=0),surface,LAND,1
89,Sea ice mask,surface,ICEC,1
90,Average albedo,surface,ALBDO,1
91,Pressure at tropopause,tropopause,PRES,1
