Field Description,UPP INITPOST Name,Model Output Name,Dimensions,Notes,,,,,,,,,,,,,,,,,,,,,,,
u-component of wind,uh,ugrd,3d,,,,,,,,,,,,,,,,,,,,,,,,
v-component of wind,vh,vgrd,3d,,,,,,,,,,,,,,,,,,,,,,,,
specific humidity,q,spfh,3d,,,,,,,,,,,,,,,,,,,,,,,,
temperature,t,tmp,3d,,,,,,,,,,,,,,,,,,,,,,,,
ozone mixing ratio,o3,o3mr,3d,,,,,,,,,,,,,,,,,,,,,,,,
geometric vertical velocity,wh,dzdt,3d,,,,,,,,,,,,,,,,,,,,,,,,
cloud water mixing ratio,qqw,clwmr,3d,,,,,,,,,,,,,,,,,,,,,,,,
layer thickness on hybrid levels,dpres,dpres,3d,,,,,,,,,,,,,,,,,,,,,,,,
pressure vertical velocity (omega),buf3d > omga,delz,3d,compute omega,,,,,,,,,,,,,,,,,,,,,,,
ice mixing ratio,qqi,icmr,3d,,,,,,,,,,,,,,,,,,,,,,,,
rain mixing ratio,qqr,rwmr,3d,,,,,,,,,,,,,,,,,,,,,,,,
snow mixing ratio,qqs,snmr,3d,,,,,,,,,,,,,,,,,,,,,,,,
graupel mixing ratio,qqg,grle,3d,,,,,,,,,,,,,,,,,,,,,,,,
Instantaneous 3d cloud fraction,cfr,cld_amt,3d,imp_physics = 11,,,,,,,,,,,,,,,,,,,,,,,
Instantaneous 3d cloud fraction,cfr,cldfra,3d,imp_physics ≠ 11,,,,,,,,,,,,,,,,,,,,,,,
max hourly updraft velocity,w_up_max,upvvelmax,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max hourly downdraft velocity,w_dn_max,dnvvelmax,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max hourly updraft helicity,up_heli_max,uhmax25,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
min hourly updraft helicity,up_heli_min,uhmin25,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max hourly 0-3km updraft helicity,up_heli_max03,uhmax03,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
min hourly 0-3km updraft helicity,up_heli_min03,uhmin03,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max 0-1km relative vorticity max,rel_vort_max01,maxvort01,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max 0-2km relative vorticity max,rel_vort_max,maxvort02,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
max hybrid level 1 relative vorticity max,rel_vort_maxhy1,maxvorthy1,2d,regional FV3,,,,,,,,,,,,,,,,,,,,,,,
surface pressure,pint,pressfc,2d,,,,,,,,,,,,,,,,,,,,,,,,
surface height,zint,hgtsfc,2d,,,,,,,,,,,,,,,,,,,,,,,,
reflectivity,REF_10CM,refl_10cm,3d,,,,,,,,,,,,,,,,,,,,,,,,
turbulence kinetic energy,q2,qke,3d,,,,,,,,,,,,,,,,,,,,,,,,
ice-friendly aerosol number concentration,qqnwfa,nifa,3d,,,,,,,,,,,,,,,,,,,,,,,,
water-friendly aerosol number concentration,qqnwfa,nwfa,3d,,,,,,,,,,,,,,,,,,,,,,,,
land mask,sm,land,2d,,,,,,,,,,,,,,,,,,,,,,,,
sea ice mask,sice,icec,2d,,,,,,,,,,,,,,,,,,,,,,,,
PBL height,pblh,hpbl,2d,,,,,,,,,,,,,,,,,,,,,,,,
frictional velocity,ustar,fricv,2d,,,,,,,,,,,,,,,,,,,,,,,,
roughness length,z0,sfcr,2d,,,,,,,,,,,,,,,,,,,,,,,,
surface exchange coefficient,SFCEXC,sfexc,2d,,,,,,,,,,,,,,,,,,,,,,,,
aerodynamic conductance,acond,acond,2d,,,,,,,,,,,,,,,,,,,,,,,,
mid day avg albedo,avgalbedo,albdo_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
surface potential temperature,ths,tmpsfc,2d,,,,,,,,,,,,,,,,,,,,,,,,
foundation temperature,fdnsst,tref,2d,,,,,,,,,,,,,,,,,,,,,,,,
convective precip in m per physics time step,avgcprate,cpratb_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
convective precip - coninuous bucket,avgcprate_cont,cprat_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
average precip rate in m per physics time step,avgprec,prateb_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
average precip rate - continuous bucket,avgprec_cont,prateb_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
precip rate,prec,tprcp,2d,,,,,,,,,,,,,,,,,,,,,,,,
convective precip rate,cprate,cnvprcp,2d,,,,,,,,,,,,,,,,,,,,,,,,
max hourly surface precip rate,prate_max,pratemax,2d,,,,,,,,,,,,,,,,,,,,,,,,
max hourly 1 km agl reflectivity,refd_max,refdmax,2d,,,,,,,,,,,,,,,,,,,,,,,,
max hourly -10C reflectivity,refdm10c_max,refdmax263k,2d,,,,,,,,,,,,,,,,,,,,,,,,
