Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
Radar reflectivity on model surface,REFD_ON_HYBRID_LVL,REFD,250
Pressure on model surface,PRES_ON_HYBRID_LVL,PRES,1
Height on model surface,HGT_ON_HYBRID_LVL,HGT,77
Temperature on model surface,TMP_ON_HYBRID_LVL,TMP,2
Potential temperature on model surface,POT_ON_HYBRID_LVL,POT,3
Dew point temperature on model surface,DPT_ON_HYBRID_LVL,DPT,4
Specific humidity on model surface,SPFH_ON_HYBRID_LVL,SPFH,5
Relative humidity on model surface,RH_ON_HYBRID_LVL,RH,6
Moisture convergence on model surface,MCONV_ON_HYBRID_LVL,MCONV,83
U component wind on model surface,UGRD_ON_HYBRID_LVL,UGRD,7
V component wind on model surface,VGRD_ON_HYBRID_LVL,VGRD,8
Cloud water on model surface,CLMR_ON_HYBRID_LVL,CLMR,124
Cloud ice on model surface,ICMR_ON_HYBRID_LVL,ICMR,125
Rain on model surface,RWMR_ON_HYBRID_LVL,RWMR,181
Snow on model surface,SNMR_ON_HYBRID_LVL,SNMR,182
Cloud fraction on model surface,TCDC_ON_HYBRID_LVL,TCDC,145
Omega on model surface,VVEL_ON_HYBRID_LVL,VVEL,9
Absolute vorticity on model surface,ABSV_ON_HYBRID_LVL,ABSV,10
Geostrophic streamfunction on model surface,STRM_ON_HYBRID_LVL,STRM,84
Turbulent kinetic energy on model surface,TKE_ON_HYBRID_LVL,TKE,11
Richardson number on model surface,RI_ON_HYBRID_LVL,RI,111
Master length scale on model surface,BMIXL_ON_HYBRID_LVL,BMIXL,146
Asymptotic length scale on model surface,AMIXL_ON_HYBRID_LVL,AMIXL,147
Radar reflectivity on pressure surface,REFD_ON_ISOBARIC_SFC,REFD,251
Height on pressure surface,HGT_ON_ISOBARIC_SFC,HGT,12
Temperature on pressure surface,TMP_ON_ISOBARIC_SFC,TMP,13
Potential temperature on pressure surface,POT_ON_ISOBARIC_SFC,POT,14
Dew point temperature on pressure surface,DPT_ON_ISOBARIC_SFC,DPT,15
Specific humidity on pressure surface,SPFH_ON_ISOBARIC_SFC,SPFH,16
Relative humidity on pressure surface,RH_ON_ISOBARIC_SFC,RH,17
Moisture convergence on pressure surface,MCONV_ON_ISOBARIC_SFC,MCONV,85
U component wind on pressure surface,UGRD_ON_ISOBARIC_SFC,UGRD,18
V component wind on pressure surface,VGRD_ON_ISOBARIC_SFC,VGRD,19
Omega on pressure surface,VVEL_ON_ISOBARIC_SFC,VVEL,20
Absolute vorticity on pressure surface,ABSV_ON_ISOBARIC_SFC,ABSV,21
Geostrophic streamfunction on pressure surface,STRM_ON_ISOBARIC_SFC,STRM,86
Turbulent kinetic energy on pressure surface,TKE_ON_ISOBARIC_SFC,TKE,22
Cloud water on pressure surface,CLMR_ON_ISOBARIC_SFC,CLMR,153
Cloud ice on pressure surface,ICMR_ON_ISOBARIC_SFC,ICMR,166
Rain on pressure surface,RWMR_ON_ISOBARIC_SFC,RWMR,183
Snow water on pressure surface,SNMR_ON_ISOBARIC_SFC,SNMR,184
Total condensate on pressure surface,TCOND_ON_ISOBARIC_SFC,TCOND,198
Mesinger (Membrane) sea level pressure,MSLET_ON_MEAN_SEA_LVL,MSLET,23
Shuell sea level pressure,PRES_ON_MEAN_SEA_LVL,PRMSL,105
2 M pressure,PRES_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,PRES,138
2 M temperature,TMP_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMP,106
2 M specific humidity,SPFH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,SPFH,112
2 M mixing ratio,Not currently available for grib2,NA,414
2 M dew point temperature,DPT_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,DPT,113
2 M RH,RH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,RH,114
10 M u component wind,UGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,UGRD,64
10 M v component wind,VGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,VGRD,65
10 M potential temperature,POT_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,POT,158
10 M specific humidity,SPFH_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,SPFH,159
Surface pressure,PRES_ON_SURFACE,PRES,24
Terrain height,HGT_ON_SURFACE,HGT,25
Skin potential temperature,POT_ON_SURFACE,POT,27
Skin specific humidity,SPFH_ON_SURFACE,SPFH,28
Skin dew point temperature,DPT_ON_SURFACE,DPT,29
Skin Relative humidity,RH_ON_SURFACE,RH,76
Skin temperature,TMP_ON_SURFACE,TMP,26
Soil temperature at the bottom of soil layers,TSOIL_ON_DEPTH_BEL_LAND_SFC_3m,TSOIL,115
GFS Soil temperature at the bottom of soil layers,GFS_TMP_ON_DEPTH_BEL_LAND_SFC_3m,TMP,571
**GFS lifted index on surface**,GFS_LFTX_ON_SURFACE,LFTX,572
**GFS lifted index on surface - best**,GFS_4LFTX_ON_SURFACE,4LFTX,573
**Soil temperature in between each of soil layers**,GFS_TMP_ON_DEPTH_BEL_LAND_SFC,TMP,574
Soil temperature in between each of soil layers,TSOIL_ON_DEPTH_BEL_LAND_SFC,TSOIL,116
Soil moisture in between each of soil layers,SOILW_ON_DEPTH_BEL_LAND_SFC,SOILW,117
Snow water equivalent,WEASD_ON_SURFACE,WEASD,119
Snow cover in percentage,SNOWC_ON_SURFACE,SNOWC,120
Heat exchange coeff at surface,SFEXC_ON_SURFACE,SFEXC,169
Vegetation cover,VEG_ON_SURFACE,VEG,170
Soil moisture availability,MSTAV_ON_DEPTH_BEL_LAND_SFC,MSTAV,171
Ground heat flux - instantaneous,INST_GFLUX_ON_SURFACE,GFLUX,152
Lifted index—surface based,LFTX_ON_ISOBARIC_SFC_500-1000hpa,LFTX,30
Lifted index—best,4LFTX_ON_SPEC_PRES_ABOVE_GRND,4LFTX,31
Lifted index—from boundary layer,PLI_ON_SPEC_PRES_ABOVE_GRND,PLI,75
Surface CAPE,CAPE_ON_SURFACE,CAPE,32
Surface CIN,CIN_ON_SURFACE,CIN,107
Column integrated precipitable water,PWAT_ON_ENTIRE_ATMOS_SINGLE_LYR,PWAT,80
**Relative humidity on sigma levels 0.66-1.0**,RH_ON_SIGMA_LVL_0.66-1.0,RH,81
**Relative humidity on sigma levels 0.33-0.66**,RH_ON_SIGMA_LVL_0.33-0.66,RH,82
Column integrated cloud water,TCOLW_ON_ENTIRE_ATMOS,TCOLW,200
Column integrated cloud ice,TCOLI_ON_ENTIRE_ATMOS,TCOLI,201
Column integrated rain,TCOLR_ON_ENTIRE_ATMOS,TCOLR,202
Column integrated snow,TCOLS_ON_ENTIRE_ATMOS,TCOLS,203
Column integrated total condensate,TCOLC_ON_ENTIRE_ATMOS,TCOLC,204
Column integrated cloud water,CWAT_ON_ENTIRE_ATMOS_SINGLE_LYR,CWAT,575
Helicity,HLCY_ON_SPEC_HGT_LVL_ABOVE_GRND,HLCY,162
U component storm motion,USTM_ON_SPEC_HGT_LVL_ABOVE_GRND,USTM,163
V component storm motion,VSTM_ON_SPEC_HGT_LVL_ABOVE_GRND,VSTM,164
Accumulated total precipitation,ACM_APCP_ON_SURFACE,APCP,87
Accumulated convective precipitation,ACM_ACPCP_ON_SURFACE,ACPCP,33
Accumulated grid-scale precipitation,ACM_NCPCP_ON_SURFACE,NCPCP,34
Accumulated snowfall,ACM_WEASD_ON_SURFACE,WEASD,35
Accumulated large scale snow,Not currently available for grib2,NA,244
Accumulated total snow melt,ACM_SNOM_ON_SURFACE,SNOM,121
Precipitation type (4 types) – instantaneous,INST_CRAIN_ON_SURFACE,CRAIN,160
Precipitation rate - instantaneous,INST_PRATE_ON_SURFACE,PRATE,167
Composite radar reflectivity,REFC_ON_ENTIRE_ATMOS,REFC,252
Low level cloud fraction,LCDC_ON_LOW_CLOUD_LYR,LCDC,37
Mid level cloud fraction,MCDC_ON_MID_CLOUD_LYR,MCDC,38
High level cloud fraction,HCDC_ON_HIGH_CLOUD_LYR,HCDC,39
Total cloud fraction,INST_TCDC_ON_ENTIRE_ATMOS,TCDC,161
Time-averaged total cloud fraction,AVE_TCDC_ON_ENTIRE_ATMOS,TCDC,144
Time-averaged stratospheric cloud fraction,AVE_CDLYR_ON_ENTIRE_ATMOS,CDLYR,139
Time-averaged convective cloud fraction,AVE_CDCON_ON_ENTIRE_ATMOS,CDCON,143
Cloud bottom pressure,PRES_ON_CLOUD_BASE,PRES,148
Cloud top pressure,PRES_ON_CLOUD_TOP,PRES,149
Cloud bottom height (above MSL),HGT_ON_CLOUD_BASE,HGT,178
Cloud top height (above MSL),HGT_ON_CLOUD_TOP,HGT,179
Convective cloud bottom pressure,PRES_ON_CONVECTIVE_CLOUD_BOT_LVL,PRES,188
Convective cloud top pressure,PRES_ON_CONVECTIVE_CLOUD_TOP_LVL,PRES,189
Shallow convective cloud bottom pressure,PRES_ON_SHALL_CONVECTIVE_CLOUD_BOT_LVL,PRES,190
Shallow convective cloud top pressure,PRES_ON_SHALL_CONVECTIVE_CLOUD_TOP_LVL,PRES,191
Deep convective cloud bottom pressure,PRES_ON_DEEP_CONVECTIVE_CLOUD_BOT_LVL,PRES,192
Deep convective cloud top pressure,PRES_ON_DEEP_CONVECTIVE_CLOUD_TOP_LVL,PRES,193
Grid scale cloud bottom pressure,PRES_ON_GRID_SCALE_CLOUD_BOT_LVL,PRES,194
Grid scale cloud top pressure,PRES_ON_GRID_SCALE_CLOUD_TOP_LVL,PRES,195
Convective cloud fraction,CDCON_ON_ENTIRE_ATMOS,CDCON,196
Convective cloud efficiency,CUEFI_ON_ENTIRE_ATMOS_SINGLE_LYR,CUEFI,197
Above-ground height of LCL,HGT_ON_LVL_OF_ADIAB_COND_FROM_SFC,HGT,109
Pressure of LCL,PRES_ON_LVL_OF_ADIAB_COND_FROM_SFC,PRES,110
Cloud top temperature,TMP_ON_CLOUD_TOP,TMP,168
Temperature tendency from radiative fluxes,TTRAD_ON_HYBRID_LVL,TTRAD,140
Temperature tendency from shortwave radiative flux,SWHR_ON_HYBRID_LVL,SWHR,40
Temperature tendency from longwave radiative flux,LWHR_ON_HYBRID_LVL,LWHR,41
Outgoing surface shortwave radiation - instantaneous,INST_USWRF_ON_SURFACE,USWRF,141
Outgoing surface longwave radiation - instantaneous,INST_ULWRF_ON_SURFACE,ULWRF,142
Incoming surface shortwave radiation - time-averaged,AVE_DSWRF_ON_SURFACE,DSWRF,126
Incoming surface longwave radiation - time-averaged,AVE_DLWRF_ON_SURFACE,DLWRF,127
Outgoing surface shortwave radiation - time-averaged,AVE_USWRF_ON_SURFACE,USWRF,128
Outgoing surface longwave radiation - time-averaged,AVE_ULWRF_ON_SURFACE,ULWRF,129
Outgoing model top shortwave radiation - time-averaged,AVE_USWRF_ON_TOP_OF_ATMOS,USWRF,130
Outgoing model top longwave radiation - time-averaged,AVE_ULWRF_ON_TOP_OF_ATMOS,ULWRF,131
Incoming surface shortwave radiation - instantaneous,INST_DSWRF_ON_SURFACE,DSWRF,156
Incoming surface longwave radiation - instantaneous,INST_DLWRF_ON_SURFACE,DLWRF,157
Roughness length,SFCR_ON_SURFACE,SFCR,44
Friction velocity,FRICV_ON_SURFACE,FRICV,45
Surface drag coefficient,CD_ON_SURFACE,CD,132
Surface u wind stress,UFLX_ON_SURFACE,UFLX,133
Surface v wind stress,VFLX_ON_SURFACE,VFLX,134
Surface sensible heat flux - time-averaged,AVE_SHTFL_ON_SURFACE,SHTFL,43
Ground heat flux - time-averaged,AVE_GFLUX_ON_SURFACE,GFLUX,135
Surface latent heat flux - time-averaged,AVE_LHTFL_ON_SURFACE,LHTFL,42
Surface momentum flux - time-averaged,AVE_MFLX_ON_SURFACE,MFLX,46
Accumulated surface evaporation,ACM_EVP_ON_SURFACE,EVP,47
Surface sensible heat flux – instantaneous,INST_SHTFL_ON_SURFACE,SHTFL,154
Surface latent heat flux - instantaneous,INST_LHTFL_ON_SURFACE,LHTFL,155
Latitude,NLAT_ON_SURFACE,NLAT,48
Longitude,ELON_ON_SURFACE,ELON,49
Land sea mask (land=1  sea=0),LAND_ON_SURFACE,LAND,50
Sea ice mask,ICEC_ON_SURFACE,ICEC,51
Surface midday albedo,ALBDO_ON_SURFACE,ALBDO,150
Sea surface temperature,WTMP_ON_SURFACE,WTMP,151
Press at tropopause,PRES_ON_TROPOPAUSE,PRES,54
Temperature at tropopause,TMP_ON_TROPOPAUSE,TMP,55
Potential temperature at tropopause,POT_ON_TROPOPAUSE,POT,108
U wind at tropopause,UGRD_ON_TROPOPAUSE,UGRD,56
V wind at tropopause,VGRD_ON_TROPOPAUSE,VGRD,57
Wind shear at tropopause,VWSH_ON_TROPOPAUSE,VWSH,58
Height at tropopause,HGT_ON_TROPOPAUSE,HGT,177
Temperature at flight levels,TMP_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,TMP,59
U wind at flight levels,UGRD_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,UGRD,60
V wind at flight levels,VGRD_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,VGRD,61
Freezing level height (above mean sea level),HGT_ON_0C_ISOTHERM,HGT,62
Freezing level RH,RH_ON_0C_ISOTHERM,RH,63
Highest freezing level height,HGT_ON_HGHST_TROP_FRZ_LVL,HGT,165
**Relative humidity on sigma levels 0.33-1.0**,RH_ON_SIGMA_LVL_0.33-1.0,RH,66
Pressure in boundary layer (30 mb mean),PRES_ON_SPEC_PRES_ABOVE_GRND,PRES,67
Temperature in boundary layer (30 mb mean),TMP_ON_SPEC_PRES_ABOVE_GRND,TMP,68
Potential temperature in boundary layers (30 mb mean),POT_ON_SPEC_PRES_ABOVE_GRND,POT,69
Dew point temperature in boundary layer (30 mb mean),DPT_ON_SPEC_PRES_ABOVE_GRND,DPT,70
Specific humidity in boundary layer (30 mb mean),SPFH_ON_SPEC_PRES_ABOVE_GRND,SPFH,71
RH in boundary layer (30 mb mean),RH_ON_SPEC_PRES_ABOVE_GRND,RH,72
