Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
Pressure on model surface,PRES_ON_HYBRID_LVL,PRES,1
Temperature on model surface,TMP_ON_HYBRID_LVL,TMP,2
Potential temperature on model surface,POT_ON_HYBRID_LVL,POT,3
Dew point temperature on model surface,DPT_ON_HYBRID_LVL,DPT,4
Specific humidity on model surface,SPFH_ON_HYBRID_LVL,SPFH,5
Relative humidity on model surface,RH_ON_HYBRID_LVL,RH,6
U component wind on model surface,UGRD_ON_HYBRID_LVL,UGRD,7
V component wind on model surface,VGRD_ON_HYBRID_LVL,VGRD,8
Omega on model surface,VVEL_ON_HYBRID_LVL,VVEL,9
Absolute vorticity on model surface,ABSV_ON_HYBRID_LVL,ABSV,10
Turbulent kinetic energy on model surface,TKE_ON_HYBRID_LVL,TKE,11
Height on pressure surface,HGT_ON_ISOBARIC_SFC,HGT,12
Temperature on pressure surface,TMP_ON_ISOBARIC_SFC,TMP,13
Potential temperature on pressure surface,POT_ON_ISOBARIC_SFC,POT,14
Dew point temperature on pressure surface,DPT_ON_ISOBARIC_SFC,DPT,15
Specific humidity on pressure surface,SPFH_ON_ISOBARIC_SFC,SPFH,16
Relative humidity on pressure surface,RH_ON_ISOBARIC_SFC,RH,17
U component wind on pressure surface,UGRD_ON_ISOBARIC_SFC,UGRD,18
V component wind on pressure surface,VGRD_ON_ISOBARIC_SFC,VGRD,19
Omega on pressure surface,VVEL_ON_ISOBARIC_SFC,VVEL,20
Absolute vorticity on pressure surface,ABSV_ON_ISOBARIC_SFC,ABSV,21
Turbulent kinetic energy on pressure surface,TKE_ON_ISOBARIC_SFC,TKE,22
Mesinger (Membrane) sea level pressure,MSLET_ON_MEAN_SEA_LVL,MSLET,23
Surface pressure,PRES_ON_SURFACE,PRES,24
Terrain height,HGT_ON_SURFACE,HGT,25
Skin temperature,TMP_ON_SURFACE,TMP,26
Skin potential temperature,POT_ON_SURFACE,POT,27
Skin specific humidity,SPFH_ON_SURFACE,SPFH,28
Skin dew point temperature,DPT_ON_SURFACE,DPT,29
Lifted index—surface based,LFTX_ON_ISOBARIC_SFC_500-1000hpa,LFTX,30
Lifted index—best,4LFTX_ON_SPEC_PRES_ABOVE_GRND,4LFTX,31
Surface CAPE,CAPE_ON_SURFACE,CAPE,32
Accumulated convective precipitation,ACM_ACPCP_ON_SURFACE,ACPCP,33
Accumulated grid-scale precipitation,ACM_NCPCP_ON_SURFACE,NCPCP,34
Accumulated snowfall,ACM_WEASD_ON_SURFACE,WEASD,35
Total soil moisture,SOILM_ON_DEPTH_BEL_LAND_SFC,SOILM,36
Low level cloud fraction,LCDC_ON_LOW_CLOUD_LYR,LCDC,37
Mid level cloud fraction,MCDC_ON_MID_CLOUD_LYR,MCDC,38
High level cloud fraction,HCDC_ON_HIGH_CLOUD_LYR,HCDC,39
Temperature tendency from shortwave radiative flux,SWHR_ON_HYBRID_LVL,SWHR,40
Temperature tendency from longwave radiative flux,LWHR_ON_HYBRID_LVL,LWHR,41
Surface latent heat flux - time-averaged,AVE_LHTFL_ON_SURFACE,LHTFL,42
Surface sensible heat flux - time-averaged,AVE_SHTFL_ON_SURFACE,SHTFL,43
Roughness length,SFCR_ON_SURFACE,SFCR,44
Friction velocity,FRICV_ON_SURFACE,FRICV,45
Surface momentum flux - time-averaged,AVE_MFLX_ON_SURFACE,MFLX,46
Accumulated surface evaporation,ACM_EVP_ON_SURFACE,EVP,47
Latitude,NLAT_ON_SURFACE,NLAT,48
Longitude,ELON_ON_SURFACE,ELON,49
Land sea mask (land=1  sea=0),LAND_ON_SURFACE,LAND,50
Sea ice mask,ICEC_ON_SURFACE,ICEC,51
Press at tropopause,PRES_ON_TROPOPAUSE,PRES,54
Temperature at tropopause,TMP_ON_TROPOPAUSE,TMP,55
U wind at tropopause,UGRD_ON_TROPOPAUSE,UGRD,56
V wind at tropopause,VGRD_ON_TROPOPAUSE,VGRD,57
Wind shear at tropopause,VWSH_ON_TROPOPAUSE,VWSH,58
Temperature at flight levels,TMP_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,TMP,59
U wind at flight levels,UGRD_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,UGRD,60
V wind at flight levels,VGRD_ON_SPEC_ALT_ABOVE_MEAN_SEA_LVL,VGRD,61
Freezing level height (above mean sea level),HGT_ON_0C_ISOTHERM,HGT,62
Freezing level RH,RH_ON_0C_ISOTHERM,RH,63
10 M u component wind,UGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,UGRD,64
10 M v component wind,VGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,VGRD,65
**Relative humidity on sigma levels 0.33-1.0**,RH_ON_SIGMA_LVL_0.33-1.0,RH,66
Pressure in boundary layer (30 mb mean),PRES_ON_SPEC_PRES_ABOVE_GRND,PRES,67
Temperature in boundary layer (30 mb mean),TMP_ON_SPEC_PRES_ABOVE_GRND,TMP,68
Potential temperature in boundary layers (30 mb mean),POT_ON_SPEC_PRES_ABOVE_GRND,POT,69
Dew point temperature in boundary layer (30 mb mean),DPT_ON_SPEC_PRES_ABOVE_GRND,DPT,70
Specific humidity in boundary layer (30 mb mean),SPFH_ON_SPEC_PRES_ABOVE_GRND,SPFH,71
RH in boundary layer (30 mb mean),RH_ON_SPEC_PRES_ABOVE_GRND,RH,72
U wind in boundary layer (30 mb mean),UGRD_ON_SPEC_PRES_ABOVE_GRND,UGRD,73
V wind in boundary layer (30 mb mean),VGRD_ON_SPEC_PRES_ABOVE_GRND,VGRD,74
Lifted index—from boundary layer,PLI_ON_SPEC_PRES_ABOVE_GRND,PLI,75
Skin Relative humidity,RH_ON_SURFACE,RH,76
Height on model surface,HGT_ON_HYBRID_LVL,HGT,77
Averaged temperature tendency from grid scale latent heat release,AVE_LRGHR_ON_HYBRID_LVL,LRGHR,78
Averaged temperature tendency from convective latent heat release,AVE_CNVHR_ON_HYBRID_LVL,CNVHR,79
Column integrated precipitable water,PWAT_ON_ENTIRE_ATMOS_SINGLE_LYR,PWAT,80
**Relative humidity on sigma levels 0.66-1.0**,RH_ON_SIGMA_LVL_0.66-1.0,RH,81
**Relative humidity on sigma levels 0.33-0.66**,RH_ON_SIGMA_LVL_0.33-0.66,RH,82
Moisture convergence on model surface,MCONV_ON_HYBRID_LVL,MCONV,83
Geostrophic streamfunction on model surface,STRM_ON_HYBRID_LVL,STRM,84
Moisture convergence on pressure surface,MCONV_ON_ISOBARIC_SFC,MCONV,85
Geostrophic streamfunction on pressure surface,STRM_ON_ISOBARIC_SFC,STRM,86
Accumulated total precipitation,ACM_APCP_ON_SURFACE,APCP,87
Moisture convergence in boundary layer (30 mb mean),MCONV_ON_SPEC_PRES_ABOVE_GRND,MCONV,88
Precipitable water in boundary layer (30 mb mean),PWAT_ON_SPEC_PRES_ABOVE_GRND,PWAT,89
Omega in boundary layer (30 mb mean),VVEL_ON_SPEC_PRES_ABOVE_GRND,VVEL,90
**Pressure on sigma level 0.98230**,PRES_ON_SIGMA_LVL_0.98230,PRES,91
**Temperature on sigma level 0.98230**,TMP_ON_SIGMA_LVL_0.98230,TMP,92
**Specific humidity on sigma level 0.98230**,SPFH_ON_SIGMA_LVL_0.98230,SPFH,93
**Relative humidity on sigma level 0.98230**,RH_ON_SIGMA_LVL_0.98230,RH,94
**U-wind on sigma level 0.98230**,UGRD_ON_SIGMA_LVL_0.98230,UGRD,95
**V-wind on sigma level 0.98230**,VGRD_ON_SIGMA_LVL_0.98230,VGRD,96
**Temperature on sigma level 0.89671**,TMP_ON_SIGMA_LVL_0.89671,TMP,97
**Temperature on sigma level 0.78483**,TMP_ON_SIGMA_LVL_0.78483,TMP,98
**Relative humidity on sigma level 0.47_1.0**,RH_ON_SIGMA_LVL_0.47_1.0,RH,99
**Relative humidity on sigma level 0.47_0.96**,RH_ON_SIGMA_LVL_0.47_0.96,RH,100
**Relative humidity on sigma level 0.18_0.47**,RH_ON_SIGMA_LVL_0.18_0.47,RH,101
**Relative humidity on sigma level 0.84_0.98**,RH_ON_SIGMA_LVL_0.84_0.98,RH,102
**Moisture convergence on sigma level 0.85_1.0**,MCONV_ON_SIGMA_LVL_0.85_1.0,MCONV,103
**Precipitable water on sigma level 0.33_1.0**,PWAT_ON_SIGMA_LVL_0.33_1.0,PWAT,104
Shuell sea level pressure,PRES_ON_MEAN_SEA_LVL,PRMSL,105
2 M temperature,TMP_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMP,106
Surface CIN,CIN_ON_SURFACE,CIN,107
Potential temperature at tropopause,POT_ON_TROPOPAUSE,POT,108
Above-ground height of LCL,HGT_ON_LVL_OF_ADIAB_COND_FROM_SFC,HGT,109
Pressure of LCL,PRES_ON_LVL_OF_ADIAB_COND_FROM_SFC,PRES,110
Richardson number on model surface,RI_ON_HYBRID_LVL,RI,111
2 M specific humidity,SPFH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,SPFH,112
2 M dew point temperature,DPT_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,DPT,113
2 M RH,RH_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,RH,114
Soil temperature at the bottom of soil layers,TSOIL_ON_DEPTH_BEL_LAND_SFC_3m,TSOIL,115
Soil temperature in between each of soil layers,TSOIL_ON_DEPTH_BEL_LAND_SFC,TSOIL,116
Soil moisture in between each of soil layers,SOILW_ON_DEPTH_BEL_LAND_SFC,SOILW,117
Plant canopy surface water,CNWAT_ON_SURFACE,CNWAT,118
Snow water equivalent,WEASD_ON_SURFACE,WEASD,119
Snow cover in percentage,SNOWC_ON_SURFACE,SNOWC,120
Accumulated total snow melt,ACM_SNOM_ON_SURFACE,SNOM,121
Accumulated storm surface runoff,ACM_SSRUN_ON_SURFACE,SSRUN,122
Accumulated baseflow runoff,ACM_BGRUN_ON_SURFACE,BGRUN,123
Cloud water on model surface,CLMR_ON_HYBRID_LVL,CLMR,124
Cloud ice on model surface,ICMR_ON_HYBRID_LVL,ICMR,125
Incoming surface shortwave radiation - time-averaged,AVE_DSWRF_ON_SURFACE,DSWRF,126
Incoming surface longwave radiation - time-averaged,AVE_DLWRF_ON_SURFACE,DLWRF,127
Outgoing surface shortwave radiation - time-averaged,AVE_USWRF_ON_SURFACE,USWRF,128
Outgoing surface longwave radiation - time-averaged,AVE_ULWRF_ON_SURFACE,ULWRF,129
Outgoing model top shortwave radiation - time-averaged,AVE_USWRF_ON_TOP_OF_ATMOS,USWRF,130
Outgoing model top longwave radiation - time-averaged,AVE_ULWRF_ON_TOP_OF_ATMOS,ULWRF,131
Surface drag coefficient,CD_ON_SURFACE,CD,132
Surface u wind stress,UFLX_ON_SURFACE,UFLX,133
Surface v wind stress,VFLX_ON_SURFACE,VFLX,134
Ground heat flux - time-averaged,AVE_GFLUX_ON_SURFACE,GFLUX,135
Average snow phase change heat flux,AVE_SNOHF_ON_SURFACE,SNOHF,136
Accumulated potential evaporation,ACM_PEVAP_ON_SURFACE,PEVAP,137
2 M pressure,PRES_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,PRES,138
Time-averaged stratospheric cloud fraction,AVE_CDLYR_ON_ENTIRE_ATMOS,CDLYR,139
Temperature tendency from radiative fluxes,TTRAD_ON_HYBRID_LVL,TTRAD,140
Outgoing surface shortwave radiation - instantaneous,INST_USWRF_ON_SURFACE,USWRF,141
Outgoing surface longwave radiation - instantaneous,INST_ULWRF_ON_SURFACE,ULWRF,142
Time-averaged convective cloud fraction,AVE_CDCON_ON_ENTIRE_ATMOS,CDCON,143
Time-averaged total cloud fraction,AVE_TCDC_ON_ENTIRE_ATMOS,TCDC,144
Cloud fraction on model surface,TCDC_ON_HYBRID_LVL,TCDC,145
Master length scale on model surface,BMIXL_ON_HYBRID_LVL,BMIXL,146
Asymptotic length scale on model surface,AMIXL_ON_HYBRID_LVL,AMIXL,147
Cloud bottom pressure,PRES_ON_CLOUD_BASE,PRES,148
Cloud top pressure,PRES_ON_CLOUD_TOP,PRES,149
Surface midday albedo,ALBDO_ON_SURFACE,ALBDO,150
Sea surface temperature,WTMP_ON_SURFACE,WTMP,151
Ground heat flux - instantaneous,INST_GFLUX_ON_SURFACE,GFLUX,152
Cloud water on pressure surface,CLMR_ON_ISOBARIC_SFC,CLMR,153
Surface sensible heat flux – instantaneous,INST_SHTFL_ON_SURFACE,SHTFL,154
Surface latent heat flux - instantaneous,INST_LHTFL_ON_SURFACE,LHTFL,155
Incoming surface shortwave radiation - instantaneous,INST_DSWRF_ON_SURFACE,DSWRF,156
Incoming surface longwave radiation - instantaneous,INST_DLWRF_ON_SURFACE,DLWRF,157
10 M potential temperature,POT_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,POT,158
10 M specific humidity,SPFH_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,SPFH,159
Precipitation type (4 types) – instantaneous,INST_CRAIN_ON_SURFACE,CRAIN,160
Total cloud fraction,INST_TCDC_ON_ENTIRE_ATMOS,TCDC,161
Helicity,HLCY_ON_SPEC_HGT_LVL_ABOVE_GRND,HLCY,162
U component storm motion,USTM_ON_SPEC_HGT_LVL_ABOVE_GRND,USTM,163
V component storm motion,VSTM_ON_SPEC_HGT_LVL_ABOVE_GRND,VSTM,164
Highest freezing level height,HGT_ON_HGHST_TROP_FRZ_LVL,HGT,165
Cloud ice on pressure surface,ICMR_ON_ISOBARIC_SFC,ICMR,166
Precipitation rate - instantaneous,INST_PRATE_ON_SURFACE,PRATE,167
Cloud top temperature,TMP_ON_CLOUD_TOP,TMP,168
Heat exchange coeff at surface,SFEXC_ON_SURFACE,SFEXC,169
Vegetation cover,VEG_ON_SURFACE,VEG,170
Soil moisture availability,MSTAV_ON_DEPTH_BEL_LAND_SFC,MSTAV,171
Fraction of frozen precipitation,CPOFP_ON_SURFACE,CPOFP,172
Maximum wind pressure level,PRES_ON_MAX_WIND,PRES,173
Maximum wind height,HGT_ON_MAX_WIND,HGT,174
U-component of maximum wind,UGRD_ON_MAX_WIND,UGRD,175
V-component of maximum wind,VGRD_ON_MAX_WIND,VGRD,176
Height at tropopause,HGT_ON_TROPOPAUSE,HGT,177
Cloud bottom height (above MSL),HGT_ON_CLOUD_BASE,HGT,178
Cloud top height (above MSL),HGT_ON_CLOUD_TOP,HGT,179
Visibility,VIS_ON_SURFACE,VIS,180
Rain on model surface,RWMR_ON_HYBRID_LVL,RWMR,181
Snow on model surface,SNMR_ON_HYBRID_LVL,SNMR,182
Rain on pressure surface,RWMR_ON_ISOBARIC_SFC,RWMR,183
Snow water on pressure surface,SNMR_ON_ISOBARIC_SFC,SNMR,184
Model level fraction of rain for Ferrier scheme,FRAIN_ON_HYBRID_LVL,FRAIN,185
Model level fraction of ice for Ferrier scheme,FICE_ON_HYBRID_LVL,FICE,186
Model level riming factor for Ferrier scheme,RIME_ON_HYBRID_LVL,RIME,187
Convective cloud bottom pressure,PRES_ON_CONVECTIVE_CLOUD_BOT_LVL,PRES,188
Convective cloud top pressure,PRES_ON_CONVECTIVE_CLOUD_TOP_LVL,PRES,189
Shallow convective cloud bottom pressure,PRES_ON_SHALL_CONVECTIVE_CLOUD_BOT_LVL,PRES,190
Shallow convective cloud top pressure,PRES_ON_SHALL_CONVECTIVE_CLOUD_TOP_LVL,PRES,191
Deep convective cloud bottom pressure,PRES_ON_DEEP_CONVECTIVE_CLOUD_BOT_LVL,PRES,192
Deep convective cloud top pressure,PRES_ON_DEEP_CONVECTIVE_CLOUD_TOP_LVL,PRES,193
Grid scale cloud bottom pressure,PRES_ON_GRID_SCALE_CLOUD_BOT_LVL,PRES,194
Grid scale cloud top pressure,PRES_ON_GRID_SCALE_CLOUD_TOP_LVL,PRES,195
Convective cloud fraction,CDCON_ON_ENTIRE_ATMOS,CDCON,196
Convective cloud efficiency,CUEFI_ON_ENTIRE_ATMOS_SINGLE_LYR,CUEFI,197
Total condensate on pressure surface,TCOND_ON_ISOBARIC_SFC,TCOND,198
Model level total condensate for Ferrier scheme,TCOND_ON_HYBRID_LVL,TCOND,199
Column integrated cloud water,TCOLW_ON_ENTIRE_ATMOS,TCOLW,200
Column integrated cloud ice,TCOLI_ON_ENTIRE_ATMOS,TCOLI,201
Column integrated rain,TCOLR_ON_ENTIRE_ATMOS,TCOLR,202
Column integrated snow,TCOLS_ON_ENTIRE_ATMOS,TCOLS,203
Column integrated total condensate,TCOLC_ON_ENTIRE_ATMOS,TCOLC,204
Height of sigma surface,HGT_ON_SIGMA_LVLS,HGT,205
Temperature on sigma surface,TMP_ON_SIGMA_LVLS,TMP,206
Specific humidity on sigma surface,SPFH_ON_SIGMA_LVLS,SPFH,207
U-wind on sigma surface,UGRD_ON_SIGMA_LVLS,UGRD,208
V-wind on sigma surface,VGRD_ON_SIGMA_LVLS,VGRD,209
Omega on sigma surface,VVEL_ON_SIGMA_LVLS,VVEL,210
Cloud water on sigma surface,CLMR_ON_SIGMA_LVLS,CLMR,211
Cloud ice on sigma surface,ICMR_ON_SIGMA_LVLS,ICMR,212
Rain on sigma surface,RWMR_ON_SIGMA_LVLS,RWMR,213
Snow on sigma surface,SNMR_ON_SIGMA_LVLS,SNMR,214
Condensate on sigma surface,TCOND_ON_SIGMA_LVLS,TCOND,215
Pressure on sigma surface,PRES_ON_SIGMA_LVLS,PRES,216
Turbulent kinetic energy on sigma surface,TKE_ON_SIGMA_LVLS,TKE,217
Vegetation type,VGTYP_ON_SURFACE,VGTYP,218
Soil type,SOTYP_ON_SURFACE,SOTYP,219
Canopy conductance,CCOND_ON_SURFACE,CCOND,220
PBL height,HPBL_ON_SURFACE,HPBL,221
Cloud fraction on sigma surface,TCDC_ON_SIGMA_LVLS,TCDC,222
Slope type,SLTYP_ON_SURFACE,SLTYP,223
Snow depth,SNOD_ON_SURFACE,SNOD,224
Liquid soil moisture,SOILL_ON_DEPTH_BEL_LAND_SFC,SOILL,225
Snow free albedo,SNFALB_ON_SURFACE,SNFALB,226
Maximum snow albedo,MXSALB_ON_SURFACE,MXSALB,227
Canopy water evaporation,EVCW_ON_SURFACE,EVCW,228
Direct soil evaporation,EVBS_ON_SURFACE,EVBS,229
Plant transpiration,TRANS_ON_SURFACE,TRANS,230
Snow sublimation,SBSNO_ON_SURFACE,SBSNO,231
Air dry soil moisture,SMDRY_ON_SURFACE,SMDRY,232
Soil moist porosity,POROS_ON_SURFACE,POROS,233
Minimum stomatal resistance,RSMIN_ON_SURFACE,RSMIN,234
Number of root layers,RLYRS_ON_SURFACE,RLYRS,235
Soil moist wilting point,WILT_ON_SURFACE,WILT,236
Soil moist reference,SMREF_ON_SURFACE,SMREF,237
Canopy conductance - solar component,RCS_ON_SURFACE,RCS,238
Canopy conductance - temperature component,RCT_ON_SURFACE,RCT,239
Canopy conductance - humidity component,RCQ_ON_SURFACE,RCQ,240
Canopy conductance - soil component,RCSOL_ON_SURFACE,RCSOL,241
Potential evaporation,PEVPR_ON_SURFACE,PEVPR,242
Heat diffusivity on sigma surface,VEDH_ON_SIGMA_LVLS,VEDH,243
